LOINC_NUM,LONG_COMMON_NAME,SHORTNAME,DisplayName,RELATEDNAMES2
10296-3,Synthetic LOINC code 10296-3,Synthetic 10296-3,Synthetic 10296-3,
10297-3,Synthetic LOINC code 10297-3,Synthetic 10297-3,Synthetic 10297-3,
10298-0,Synthetic LOINC code 10298-0,Synthetic 10298-0,Synthetic 10298-0,
10299-1,Synthetic LOINC code 10299-1,Synthetic 10299-1,Synthetic 10299-1,
10300-7,Synthetic LOINC code 10300-7,Synthetic 10300-7,Synthetic 10300-7,
10301-1,Synthetic LOINC code 10301-1,Synthetic 10301-1,Synthetic 10301-1,
10302-9,Synthetic LOINC code 10302-9,Synthetic 10302-9,Synthetic 10302-9,
10303-3,Synthetic LOINC code 10303-3,Synthetic 10303-3,Synthetic 10303-3,
10304-9,Synthetic LOINC code 10304-9,Synthetic 10304-9,Synthetic 10304-9,
10305-0,Synthetic LOINC code 10305-0,Synthetic 10305-0,Synthetic 10305-0,
10306-2,Synthetic LOINC code 10306-2,Synthetic 10306-2,Synthetic 10306-2,
10307-9,Synthetic LOINC code 10307-9,Synthetic 10307-9,Synthetic 10307-9,
10308-3,Synthetic LOINC code 10308-3,Synthetic 10308-3,Synthetic 10308-3,
10309-5,Synthetic LOINC code 10309-5,Synthetic 10309-5,Synthetic 10309-5,
10310-2,Synthetic LOINC code 10310-2,Synthetic 10310-2,Synthetic 10310-2,
10311-4,Synthetic LOINC code 10311-4,Synthetic 10311-4,Synthetic 10311-4,
10312-7,Synthetic LOINC code 10312-7,Synthetic 10312-7,Synthetic 10312-7,
10313-2,Synthetic LOINC code 10313-2,Synthetic 10313-2,Synthetic 10313-2,
10314-9,Synthetic LOINC code 10314-9,Synthetic 10314-9,Synthetic 10314-9,
10315-1,Synthetic LOINC code 10315-1,Synthetic 10315-1,Synthetic 10315-1,
10316-7,Synthetic LOINC code 10316-7,Synthetic 10316-7,Synthetic 10316-7,
10317-9,Synthetic LOINC code 10317-9,Synthetic 10317-9,Synthetic 10317-9,
10318-7,Synthetic LOINC code 10318-7,Synthetic 10318-7,Synthetic 10318-7,
10319-4,Synthetic LOINC code 10319-4,Synthetic 10319-4,Synthetic 10319-4,
10320-7,Synthetic LOINC code 10320-7,Synthetic 10320-7,Synthetic 10320-7,
10321-3,Synthetic LOINC code 10321-3,Synthetic 10321-3,Synthetic 10321-3,
10322-4,Synthetic LOINC code 10322-4,Synthetic 10322-4,Synthetic 10322-4,
10323-3,Synthetic LOINC code 10323-3,Synthetic 10323-3,Synthetic 10323-3,
10324-2,Synthetic LOINC code 10324-2,Synthetic 10324-2,Synthetic 10324-2,
10325-4,Synthetic LOINC code 10325-4,Synthetic 10325-4,Synthetic 10325-4,
10326-0,Synthetic LOINC code 10326-0,Synthetic 10326-0,Synthetic 10326-0,
10327-3,Synthetic LOINC code 10327-3,Synthetic 10327-3,Synthetic 10327-3,
10328-7,Synthetic LOINC code 10328-7,Synthetic 10328-7,Synthetic 10328-7,
10329-6,Synthetic LOINC code 10329-6,Synthetic 10329-6,Synthetic 10329-6,
10330-3,Synthetic LOINC code 10330-3,Synthetic 10330-3,Synthetic 10330-3,
10331-6,Synthetic LOINC code 10331-6,Synthetic 10331-6,Synthetic 10331-6,
10332-2,Synthetic LOINC code 10332-2,Synthetic 10332-2,Synthetic 10332-2,
10333-6,Synthetic LOINC code 10333-6,Synthetic 10333-6,Synthetic 10333-6,
10334-8,Synthetic LOINC code 10334-8,Synthetic 10334-8,Synthetic 10334-8,
10335-8,Synthetic LOINC code 10335-8,Synthetic 10335-8,Synthetic 10335-8,
10336-5,Synthetic LOINC code 10336-5,Synthetic 10336-5,Synthetic 10336-5,
10337-1,Synthetic LOINC code 10337-1,Synthetic 10337-1,Synthetic 10337-1,
10338-3,Synthetic LOINC code 10338-3,Synthetic 10338-3,Synthetic 10338-3,
10339-1,Synthetic LOINC code 10339-1,Synthetic 10339-1,Synthetic 10339-1,
10340-4,Synthetic LOINC code 10340-4,Synthetic 10340-4,Synthetic 10340-4,
10341-3,Synthetic LOINC code 10341-3,Synthetic 10341-3,Synthetic 10341-3,
10342-0,Synthetic LOINC code 10342-0,Synthetic 10342-0,Synthetic 10342-0,
10343-0,Synthetic LOINC code 10343-0,Synthetic 10343-0,Synthetic 10343-0,
10344-9,Synthetic LOINC code 10344-9,Synthetic 10344-9,Synthetic 10344-9,
10345-9,Synthetic LOINC code 10345-9,Synthetic 10345-9,Synthetic 10345-9,
10346-5,Synthetic LOINC code 10346-5,Synthetic 10346-5,Synthetic 10346-5,
10347-7,Synthetic LOINC code 10347-7,Synthetic 10347-7,Synthetic 10347-7,
10348-1,Synthetic LOINC code 10348-1,Synthetic 10348-1,Synthetic 10348-1,
10349-0,Synthetic LOINC code 10349-0,Synthetic 10349-0,Synthetic 10349-0,
10350-5,Synthetic LOINC code 10350-5,Synthetic 10350-5,Synthetic 10350-5,
10351-7,Synthetic LOINC code 10351-7,Synthetic 10351-7,Synthetic 10351-7,
10352-8,Synthetic LOINC code 10352-8,Synthetic 10352-8,Synthetic 10352-8,
10353-2,Synthetic LOINC code 10353-2,Synthetic 10353-2,Synthetic 10353-2,
10354-3,Synthetic LOINC code 10354-3,Synthetic 10354-3,Synthetic 10354-3,
10355-9,Synthetic LOINC code 10355-9,Synthetic 10355-9,Synthetic 10355-9,
10356-4,Synthetic LOINC code 10356-4,Synthetic 10356-4,Synthetic 10356-4,
10357-9,Synthetic LOINC code 10357-9,Synthetic 10357-9,Synthetic 10357-9,
10358-7,Synthetic LOINC code 10358-7,Synthetic 10358-7,Synthetic 10358-7,
10359-0,Synthetic LOINC code 10359-0,Synthetic 10359-0,Synthetic 10359-0,
10360-7,Synthetic LOINC code 10360-7,Synthetic 10360-7,Synthetic 10360-7,
10361-2,Synthetic LOINC code 10361-2,Synthetic 10361-2,Synthetic 10361-2,
10362-9,Synthetic LOINC code 10362-9,Synthetic 10362-9,Synthetic 10362-9,
10363-7,Synthetic LOINC code 10363-7,Synthetic 10363-7,Synthetic 10363-7,
10364-8,Synthetic LOINC code 10364-8,Synthetic 10364-8,Synthetic 10364-8,
10365-3,Synthetic LOINC code 10365-3,Synthetic 10365-3,Synthetic 10365-3,
10366-9,Synthetic LOINC code 10366-9,Synthetic 10366-9,Synthetic 10366-9,
10367-5,Synthetic LOINC code 10367-5,Synthetic 10367-5,Synthetic 10367-5,
10368-8,Synthetic LOINC code 10368-8,Synthetic 10368-8,Synthetic 10368-8,
10369-3,Synthetic LOINC code 10369-3,Synthetic 10369-3,Synthetic 10369-3,
10370-2,Synthetic LOINC code 10370-2,Synthetic 10370-2,Synthetic 10370-2,
10371-1,Synthetic LOINC code 10371-1,Synthetic 10371-1,Synthetic 10371-1,
10372-0,Synthetic LOINC code 10372-0,Synthetic 10372-0,Synthetic 10372-0,
10373-6,Synthetic LOINC code 10373-6,Synthetic 10373-6,Synthetic 10373-6,
10374-4,Synthetic LOINC code 10374-4,Synthetic 10374-4,Synthetic 10374-4,
10375-3,Synthetic LOINC code 10375-3,Synthetic 10375-3,Synthetic 10375-3,
10376-3,Synthetic LOINC code 10376-3,Synthetic 10376-3,Synthetic 10376-3,
10377-3,Synthetic LOINC code 10377-3,Synthetic 10377-3,Synthetic 10377-3,
10378-6,Synthetic LOINC code 10378-6,Synthetic 10378-6,Synthetic 10378-6,
10379-1,Synthetic LOINC code 10379-1,Synthetic 10379-1,Synthetic 10379-1,
10380-1,Synthetic LOINC code 10380-1,Synthetic 10380-1,Synthetic 10380-1,
10381-7,Synthetic LOINC code 10381-7,Synthetic 10381-7,Synthetic 10381-7,
10382-3,Synthetic LOINC code 10382-3,Synthetic 10382-3,Synthetic 10382-3,
10383-2,Synthetic LOINC code 10383-2,Synthetic 10383-2,Synthetic 10383-2,
10384-7,Synthetic LOINC code 10384-7,Synthetic 10384-7,Synthetic 10384-7,
10385-9,Synthetic LOINC code 10385-9,Synthetic 10385-9,Synthetic 10385-9,
10386-7,Synthetic LOINC code 10386-7,Synthetic 10386-7,Synthetic 10386-7,
10387-0,Synthetic LOINC code 10387-0,Synthetic 10387-0,Synthetic 10387-0,
10388-8,Synthetic LOINC code 10388-8,Synthetic 10388-8,Synthetic 10388-8,
10389-0,Synthetic LOINC code 10389-0,Synthetic 10389-0,Synthetic 10389-0,
10390-9,Synthetic LOINC code 10390-9,Synthetic 10390-9,Synthetic 10390-9,
10391-6,Synthetic LOINC code 10391-6,Synthetic 10391-6,Synthetic 10391-6,
10392-5,Synthetic LOINC code 10392-5,Synthetic 10392-5,Synthetic 10392-5,
10393-8,Synthetic LOINC code 10393-8,Synthetic 10393-8,Synthetic 10393-8,
10394-8,Synthetic LOINC code 10394-8,Synthetic 10394-8,Synthetic 10394-8,
10395-4,Synthetic LOINC code 10395-4,Synthetic 10395-4,Synthetic 10395-4,
10396-7,Synthetic LOINC code 10396-7,Synthetic 10396-7,Synthetic 10396-7,
10397-9,Synthetic LOINC code 10397-9,Synthetic 10397-9,Synthetic 10397-9,
10398-8,Synthetic LOINC code 10398-8,Synthetic 10398-8,Synthetic 10398-8,
10399-3,Synthetic LOINC code 10399-3,Synthetic 10399-3,Synthetic 10399-3,
10400-0,Synthetic LOINC code 10400-0,Synthetic 10400-0,Synthetic 10400-0,
10401-7,Synthetic LOINC code 10401-7,Synthetic 10401-7,Synthetic 10401-7,
10402-4,Synthetic LOINC code 10402-4,Synthetic 10402-4,Synthetic 10402-4,
10403-6,Synthetic LOINC code 10403-6,Synthetic 10403-6,Synthetic 10403-6,
10404-8,Synthetic LOINC code 10404-8,Synthetic 10404-8,Synthetic 10404-8,
10405-9,Synthetic LOINC code 10405-9,Synthetic 10405-9,Synthetic 10405-9,
10406-2,Synthetic LOINC code 10406-2,Synthetic 10406-2,Synthetic 10406-2,
10407-8,Synthetic LOINC code 10407-8,Synthetic 10407-8,Synthetic 10407-8,
10408-3,Synthetic LOINC code 10408-3,Synthetic 10408-3,Synthetic 10408-3,
10409-5,Synthetic LOINC code 10409-5,Synthetic 10409-5,Synthetic 10409-5,
10410-6,Synthetic LOINC code 10410-6,Synthetic 10410-6,Synthetic 10410-6,
10411-3,Synthetic LOINC code 10411-3,Synthetic 10411-3,Synthetic 10411-3,
10412-5,Synthetic LOINC code 10412-5,Synthetic 10412-5,Synthetic 10412-5,
10413-4,Synthetic LOINC code 10413-4,Synthetic 10413-4,Synthetic 10413-4,
10414-4,Synthetic LOINC code 10414-4,Synthetic 10414-4,Synthetic 10414-4,
10415-6,Synthetic LOINC code 10415-6,Synthetic 10415-6,Synthetic 10415-6,
10416-1,Synthetic LOINC code 10416-1,Synthetic 10416-1,Synthetic 10416-1,
10417-4,Synthetic LOINC code 10417-4,Synthetic 10417-4,Synthetic 10417-4,
10418-1,Synthetic LOINC code 10418-1,Synthetic 10418-1,Synthetic 10418-1,
10419-8,Synthetic LOINC code 10419-8,Synthetic 10419-8,Synthetic 10419-8,
10420-9,Synthetic LOINC code 10420-9,Synthetic 10420-9,Synthetic 10420-9,
10421-1,Synthetic LOINC code 10421-1,Synthetic 10421-1,Synthetic 10421-1,
10422-4,Synthetic LOINC code 10422-4,Synthetic 10422-4,Synthetic 10422-4,
10423-2,Synthetic LOINC code 10423-2,Synthetic 10423-2,Synthetic 10423-2,
10424-7,Synthetic LOINC code 10424-7,Synthetic 10424-7,Synthetic 10424-7,
10425-8,Synthetic LOINC code 10425-8,Synthetic 10425-8,Synthetic 10425-8,
10426-7,Synthetic LOINC code 10426-7,Synthetic 10426-7,Synthetic 10426-7,
10427-2,Synthetic LOINC code 10427-2,Synthetic 10427-2,Synthetic 10427-2,
10428-2,Synthetic LOINC code 10428-2,Synthetic 10428-2,Synthetic 10428-2,
10429-5,Synthetic LOINC code 10429-5,Synthetic 10429-5,Synthetic 10429-5,
10430-4,Synthetic LOINC code 10430-4,Synthetic 10430-4,Synthetic 10430-4,
10431-5,Synthetic LOINC code 10431-5,Synthetic 10431-5,Synthetic 10431-5,
10432-1,Synthetic LOINC code 10432-1,Synthetic 10432-1,Synthetic 10432-1,
10433-4,Synthetic LOINC code 10433-4,Synthetic 10433-4,Synthetic 10433-4,
10434-6,Synthetic LOINC code 10434-6,Synthetic 10434-6,Synthetic 10434-6,
10435-3,Synthetic LOINC code 10435-3,Synthetic 10435-3,Synthetic 10435-3,
10436-5,Synthetic LOINC code 10436-5,Synthetic 10436-5,Synthetic 10436-5,
10437-9,Synthetic LOINC code 10437-9,Synthetic 10437-9,Synthetic 10437-9,
10438-1,Synthetic LOINC code 10438-1,Synthetic 10438-1,Synthetic 10438-1,
10439-8,Synthetic LOINC code 10439-8,Synthetic 10439-8,Synthetic 10439-8,
10440-9,Synthetic LOINC code 10440-9,Synthetic 10440-9,Synthetic 10440-9,
10441-0,Synthetic LOINC code 10441-0,Synthetic 10441-0,Synthetic 10441-0,
10442-5,Synthetic LOINC code 10442-5,Synthetic 10442-5,Synthetic 10442-5,
10443-5,Synthetic LOINC code 10443-5,Synthetic 10443-5,Synthetic 10443-5,
